"ID","X","Y"
201701,3167163,1678018
201702,3163262,1671541
201703,3141038,1697180
201704,3145128,1694983
201705,3139821,1699633
201706,3157632,1693626
201707,3157632,1693626
201708,3137010,1700390
201709,3137010,1700390
201710,3133645,1679018
201711,3140598,1699567
201712,3152281,1672386
201713,3136069,1700494
201714,3136069,1700494
201715,3147532,1694400
201716,3147532,1694400
201717,3145580,1694848
201718,3149769,1674383
201719,3150100,1670762
201720,3150101,1671238
201721,3150765,1670182
201722,3141527,1697656
201723,3144354,1690523
201724,3152230,1671040
201725,3150094,1673170
201726,3133545,1713145
201727,3133545,1713145
201728,3144496,1700051
201729,3169843,1657990
201730,3144562,1698927
201731,3141971,1670319
201732,3133521,1673927
201733,3169503,1694866
201734,3143852,1700184
201735,3137133,1695925
201736,3131452,1713240
201737,3144523,1692592
201738,3155219,1686428
201739,3149910,1672515
201740,3152941,1695469
201741,3174680,1663589
201742,3145734,1690650
201743,3141705,1698196
201744,3144388,1695524
201745,3143054,1698655
201746,3148190,1694985
201747,3142418,1694739
201748,3133746,1680427
201749,3164520,1663466
201750,3145572,1696612
201751,3164367,1661358
201752,3150473,1695101
201753,3135043,1684558
201754,3144308,1677782
201755,3135043,1684558
201756,3152941,1695469
201757,3143787,1691644
201758,3140139,1699945
201759,3140270,1707898
201760,3193238,1715202
